fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,7,22,22,22,0.002145,60,true,22
A1_chain_d5_N20,6,20,20,20,0.006103,100,true,20
A1_chain_d5_N50,7,37,37,37,0.002145,100,true,37
A1_chain_d5_N100,7,70,70,70,0.002273,100,true,70
A1_chain_d8_N50,7,31,31,31,0.002160,160,true,31
A2_multiclassA_2refs_loadLow_N20,2,14,14,14,0.002362,65,true,14
A2_multiclassA_2refs_loadHigh_N20,2,12,12,12,0.000827,65,true,12
A2_multiclassA_2refs_loadLow_N50,2,5,5,5,0.008834,65,true,5
A2_multiclassA_2refs_loadHigh_N50,2,4,4,4,0.002792,65,true,4
A2_multiclassB_2refs_demands_3to1_N20,2,18,18,18,0.027154,65,true,18
A2_multiclassB_2refs_demands_5to1_N20,2,14,14,14,0.035557,65,true,14
A2_multiclassB_2refs_demands_3to1_N50,2,3,3,3,0.009364,65,true,3
A2_multiclassB_2refs_demands_5to1_N50,2,3,3,3,0.009912,65,true,3
A2_multiclassC_2refs_think_2to1_N20,2,16,16,16,0.014538,65,true,16
A2_multiclassC_2refs_think_4to1_N20,2,15,15,15,0.040825,65,true,15
A2_multiclassC_2refs_think_2to1_N50,2,3,3,3,0.008283,65,true,3
A2_multiclassC_2refs_think_4to1_N50,2,2,2,2,0.016165,65,true,2
A3_multiserver_c2_loadLow,4,1,1,1,0.551108,40,true,1
A3_multiserver_c2_loadMedium,5,2,2,2,0.098794,40,true,2
A3_multiserver_c2_loadHigh,5,2,2,2,0.059048,40,true,2
A3_multiserver_c4_loadLow,5,1,1,1,0.056692,40,true,1
A3_multiserver_c4_loadMedium,5,1,1,1,0.048826,40,true,1
A3_multiserver_c4_loadHigh,6,2,2,2,0.009237,40,true,2
A3_multiserver_c8_loadLow,5,1,1,1,0.032010,40,true,1
A3_multiserver_c8_loadMedium,6,1,1,1,0.013779,40,true,1
A3_multiserver_c8_loadHigh,6,1,1,1,0.011605,40,true,1
A4_threeTier_multiclass,7,6,6,6,0.007120,85,true,6
A4_multiclass_multiserver,2,2,2,2,0.111505,65,true,2
A4_multiclass_multientry,2,3,3,3,0.057472,90,true,3
A4_chainPlusFanout,11,16,16,16,0.892897,105,true,16
A4_webApplication,2,6,6,6,0.358173,85,true,6
A4_databaseBackend,6,8,8,8,0.035562,80,true,8
A4_threeTier_sequence,2,3,3,3,0.000000,0,true,3
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1
A4_retryLoop,6,5,5,5,0.000000,0,true,5
A4_replyThenLog,3,3,3,3,0.000000,0,true,3
A5_orForkUneven,6,3,3,3,0.000000,0,true,3
A5_orForkThreeWay,6,3,3,3,0.000000,0,true,3
A5_andForkThreeWay,2,1,1,1,0.000000,0,true,1
A5_andForkMultiAct,2,1,1,1,0.000000,0,true,1
A5_seqMultiEntry,4,1,1,1,0.000000,0,true,1
A5_replyAtBound,3,2,2,2,0.000000,0,true,2
A5_combinedDag,2,1,1,1,0.000000,0,true,1
A5_multiclassAndFork,2,1,1,1,0.000000,0,true,1
B_scaleAxis_tasks5_chain,7,9,9,9,0.002275,100,true,9
B_scaleAxis_tasks10_chain,7,16,16,16,0.005332,200,true,16
B_scaleAxis_tasks20_chain,7,27,27,27,0.091496,400,true,27
B_scaleAxis_tasks40_chain,7,108,108,108,0.045859,800,true,108
B_scaleAxis_tasks60_chain,7,182,182,182,0.064753,1200,true,182
B_scaleAxis_tasks5_fanout,11,7,7,7,2.401563,100,false,7
B_scaleAxis_tasks10_fanout,12,18,18,18,2.410837,200,false,18
B_scaleAxis_tasks20_fanout,12,38,38,38,1.102123,400,false,38
B_scaleAxis_tasks40_fanout,11,111,111,111,0.000000,0,true,111
B_scaleAxis_tasks60_fanout,10,333,333,333,0.000000,0,true,333
C1_fanOut2_caller_c1,10,2,2,2,0.386518,60,true,2
C1_fanOut2_caller_c2,10,2,2,2,0.386518,60,true,2
C1_fanOut3_caller_c1,11,3,3,3,0.345293,80,true,3
C1_fanOut3_caller_c2,11,3,3,3,0.345293,80,true,3
C1_fanOut4_caller_c1,11,3,3,3,0.306212,100,true,3
C1_fanOut4_caller_c2,11,3,3,3,0.306212,100,true,3
C2_infTaskSimple,2,0,0,0,0.000000,40,true,0
C2_infTaskShared,2,0,0,0,0.000000,65,true,0
C2_infTaskDeep,2,1,1,1,0.000001,80,true,1
C3_multiclassMultiEntry_2refs,2,1,1,1,0.035019,65,true,1
C3_multiclassMultiEntry_3refs,2,1,1,1,0.298966,90,true,1
C3_multiclassMultiEntry_asymmetric,2,2,2,2,0.062914,65,true,2
C4_nearSaturation,3,0,0,0,0.463438,40,true,0
C4_predicateThreshold,2,0,0,0,0.000000,40,true,0
C4_lowDemand,3,0,0,0,0.000002,40,true,0
C5_satFanout_tasks5,25,10,10,10,0.000000,0,true,10
C5_satFanout_tasks10,13,13,13,13,0.000000,0,true,13
C5_satFanout_tasks20,12,44,44,44,0.000000,0,true,44
C5_satFanoutCaller_w2,24,10,10,10,0.000000,0,true,10
C5_satFanoutCaller_w3,25,13,13,13,0.000000,0,true,13
C5_satFanoutCaller_w4,24,16,16,16,0.000000,0,true,16
C6_andForkPsHost,3,0,0,0,0.000000,0,true,0
C7_deepChainMultiCall,5,4,4,4,0.000000,0,true,4
C7_deepChainAllExp,3,4,4,4,0.000000,0,true,4
