fixture_name,iters,time_ms_median,time_ms_min,time_ms_max,max_slack_vs_ln,nodes_compared,pass,all_times_ms
A1_chain_d3_N50,6,13,12,14,0.005377,60,true,13|13|14|12|14
A1_chain_d5_N20,6,10,10,14,0.002220,100,true,14|11|10|10|10
A1_chain_d5_N50,6,22,20,23,0.005376,100,true,20|22|20|22|23
A1_chain_d5_N100,7,65,64,66,0.001898,100,true,66|66|65|65|64
A1_chain_d8_N50,6,33,33,34,0.005391,160,true,33|33|33|33|34
A2_multiclassA_2refs_loadLow_N20,2,9,9,10,0.002362,65,true,9|9|10|9|9
A2_multiclassA_2refs_loadHigh_N20,2,9,9,9,0.000827,65,true,9|9|9|9|9
A2_multiclassA_2refs_loadLow_N50,2,3,3,3,0.008834,65,true,3|3|3|3|3
A2_multiclassA_2refs_loadHigh_N50,2,3,2,3,0.002792,65,true,3|3|3|2|2
A2_multiclassB_2refs_demands_3to1_N20,2,10,9,10,0.027154,65,true,9|10|10|10|9
A2_multiclassB_2refs_demands_5to1_N20,2,10,10,10,0.035557,65,true,10|10|10|10|10
A2_multiclassB_2refs_demands_3to1_N50,2,2,2,3,0.009364,65,true,2|3|2|3|2
A2_multiclassB_2refs_demands_5to1_N50,2,2,2,2,0.009912,65,true,2|2|2|2|2
A2_multiclassC_2refs_think_2to1_N20,2,8,8,8,0.014538,65,true,8|8|8|8|8
A2_multiclassC_2refs_think_4to1_N20,2,7,7,8,0.040825,65,true,8|7|8|7|7
A2_multiclassC_2refs_think_2to1_N50,2,2,2,3,0.008283,65,true,2|2|3|2|2
A2_multiclassC_2refs_think_4to1_N50,2,2,2,2,0.016165,65,true,2|2|2|2|2
A3_multiserver_c2_loadLow,4,1,1,2,0.551108,40,true,1|1|1|1|2
A3_multiserver_c2_loadMedium,5,1,1,2,0.098794,40,true,2|1|1|1|1
A3_multiserver_c2_loadHigh,5,1,1,2,0.059048,40,true,1|1|2|1|1
A3_multiserver_c4_loadLow,5,1,1,2,0.056692,40,true,1|1|1|1|2
A3_multiserver_c4_loadMedium,5,1,1,2,0.048826,40,true,1|1|1|1|2
A3_multiserver_c4_loadHigh,6,1,1,1,0.009237,40,true,1|1|1|1|1
A3_multiserver_c8_loadLow,5,1,1,1,0.032010,40,true,1|1|1|1|1
A3_multiserver_c8_loadMedium,6,1,1,1,0.013779,40,true,1|1|1|1|1
A3_multiserver_c8_loadHigh,6,2,1,2,0.011605,40,true,1|1|2|2|2
A4_threeTier_multiclass,8,5,5,6,0.006763,85,true,5|5|6|5|5
A4_multiclass_multiserver,2,2,2,2,0.111505,65,true,2|2|2|2|2
A4_multiclass_multientry,2,2,2,3,0.057472,90,true,2|3|2|3|2
A4_chainPlusFanout,100,45,43,51,0.892897,105,true,51|43|45|46|44
A4_webApplication,4,2,2,2,0.000000,85,true,2|2|2|2|2
A4_databaseBackend,7,3,3,4,0.062747,80,true,3|3|4|3|3
A4_threeTier_sequence,4,2,2,2,0.000000,0,true,2|2|2|2|2
A4_parallelService_andFork,2,1,1,1,0.000000,0,true,1|1|1|1|1
A4_retryLoop,8,2,2,2,0.000000,0,true,2|2|2|2|2
A4_replyThenLog,3,1,1,1,0.000000,0,true,1|1|1|1|1
A5_orForkUneven,6,1,1,1,0.000000,0,true,1|1|1|1|1
