fixture_name,partition,condition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes
A3_multiserver_c8_loadLow,A3,f17off,3,21,53,568,6,40,9.991293521755557E-9,Infinity,match-ln,
C2_infTaskShared,C2,f17off,2,31,53,1642,2,50,2.3028322668378117E-8,Infinity,match-ln,
C2_infTaskSimple,C2,f17off,2,22,53,600,2,36,1.4814814737485247E-8,Infinity,match-ln,
B_scaleAxis_tasks10_fanout,B,f17off,10,210,53,8319,7,92,0.4661943123010325,Infinity,match-neither,
A1_chain_d5_N100,A1,f17off,3,45,53,3490,50,46,1.7228200366711692E-7,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N20,A2,f17off,2,27,53,1247,10,34,4.1387690706106725E-5,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N50,A2,f17off,2,22,53,1277,10,31,1.3964118037485343E-4,Infinity,match-ln,
C4_lowDemand,C4,f17off,3,12,53,422,6,36,1.5234253431667415E-7,Infinity,match-ln,
C3_multiclassMultiEntry_asymmetric,C3,f17off,2,23,53,1230,10,34,0.0031854540870217365,Infinity,match-ln,
C2_infTaskDeep,C2,f17off,3,24,53,1955,2,38,4.6306999344064256E-8,Infinity,match-ln,
C5_satFanout_tasks10,C5,f17off,11,165,85,16469,12,130,0.4675063808582269,Infinity,match-neither,
C5_satFanout_tasks20,C5,f17off,10,692,81,26490,7,400,0.6054241421406608,Infinity,match-neither,
C5_satFanoutCaller_w2,C5,f17off,18,27,62,2939,26,27,0.5461559963276738,Infinity,match-neither,
C5_satFanoutCaller_w3,C5,f17off,18,34,65,4249,29,33,0.5159597384104402,Infinity,match-neither,
C5_satFanoutCaller_w4,C5,f17off,21,43,74,6415,31,39,0.44280151936520484,Infinity,match-neither,
A4_retryLoop,A4,f17off,4,18,53,622,10,34,8.492578803253991E-8,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N20,A2,f17off,2,19,53,961,9,29,0.001779978209858555,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N50,A2,f17off,2,14,53,912,10,36,4.958272541139544E-4,Infinity,match-ln,
A4_chainPlusFanout,A4,f17off,6,34,53,2426,9,29,0.047621191697856,Infinity,match-ln,
C6_andForkPsHost,C6,f17off,3,199,53,12390,50,35,0.36167077270887615,Infinity,match-neither,
A3_multiserver_c8_loadHigh,A3,f17off,3,8,53,352,8,31,1.6710729481066138E-8,Infinity,match-ln,
C6_multiclassAndFork,C6,f17off,2,514,53,29463,8,28,1.0761322450827713,Infinity,match-neither,
A4_threeTier_sequence,A4,f17off,4,18,53,536,6,29,0.039781102447431146,Infinity,match-ln,
A4_parallelService_andFork,A4,f17off,2,128,53,10289,8,36,4.37719490573342E-4,Infinity,match-ln,
A3_multiserver_c2_loadMedium,A3,f17off,3,10,53,428,7,32,6.973386617755015E-9,Infinity,match-ln,
A5_orForkUneven,A5,f17off,3,13,53,470,,,2.001111264858365E-8,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_e4f96905.lqnx:19: error: Task \
A2_multiclassB_2refs_demands_3to1_N20,A2,f17off,2,23,53,1311,9,35,0.001359531198530082,Infinity,match-ln,
A2_multiclassB_2refs_demands_3to1_N50,A2,f17off,2,17,53,1328,10,33,4.6846225916296334E-4,Infinity,match-ln,
B_scaleAxis_tasks5_chain,B,f17off,3,27,53,4125,14,43,2.0970642853838956E-5,Infinity,match-ln,
A3_multiserver_c4_loadMedium,A3,f17off,3,10,53,429,7,37,1.1480981767115277E-8,Infinity,match-ln,
C1_fanOut2_caller_c1,C1,f17off,8,24,53,789,7,35,0.29442364637371543,Infinity,match-neither,
C1_fanOut2_caller_c2,C1,f17off,8,23,53,853,7,34,0.29442364637371543,Infinity,match-neither,
A3_multiserver_c4_loadHigh,A3,f17off,3,11,53,450,8,37,1.672147850555455E-8,Infinity,match-ln,
A4_multiclass_multiserver,A4,f17off,2,18,53,2365,10,36,0.0058931291162968085,Infinity,match-ln,
A4_threeTier_multiclass,A4,f17off,5,28,53,3327,13,37,0.0014133495844144029,Infinity,match-ln,
A3_multiserver_c2_loadHigh,A3,f17off,3,11,53,396,8,32,1.1017551485745867E-8,Infinity,match-ln,
A3_multiserver_c8_loadMedium,A3,f17off,3,11,53,467,7,34,1.0734038792624971E-8,Infinity,match-ln,
A4_replyThenLog,A4,f17off,3,13,53,454,2,32,0.001869542403480529,Infinity,match-ln,
A4_multiclass_multientry,A4,f17off,2,25,53,1727,9,39,0.0029704995920316673,Infinity,match-ln,
A5_replyAtBound,A5,f17off,3,16,53,446,2,33,0.013407702493180615,Infinity,match-ln,
C1_fanOut4_caller_c1,C1,f17off,9,36,53,1644,7,45,0.3032292953102441,Infinity,match-neither,
C1_fanOut4_caller_c2,C1,f17off,9,43,53,1560,7,37,0.30322929531024384,Infinity,match-neither,
A2_multiclassA_2refs_loadLow_N20,A2,f17off,2,19,53,1278,9,36,1.1822905059019936E-4,Infinity,match-ln,
A2_multiclassA_2refs_loadLow_N50,A2,f17off,2,17,53,1361,10,31,4.4189298629087833E-4,Infinity,match-ln,
A2_multiclassC_2refs_think_4to1_N20,A2,f17off,2,19,53,1390,10,35,0.0026199704343522335,Infinity,match-ln,
A2_multiclassC_2refs_think_4to1_N50,A2,f17off,2,22,53,1368,10,37,8.745258894391715E-4,Infinity,match-ln,
C3_multiclassMultiEntry_2refs,C3,f17off,2,20,53,771,9,36,0.0017895176634592802,Infinity,match-ln,
C3_multiclassMultiEntry_3refs,C3,f17off,2,30,53,1734,9,36,0.017838030039096186,Infinity,match-ln,
B_scaleAxis_tasks10_chain,B,f17off,3,54,53,8227,21,63,1.8220381141459866E-4,Infinity,match-ln,
C4_nearSaturation,C4,f17off,3,15,53,873,12,33,0.023262120170923516,Infinity,match-ln,
A3_multiserver_c2_loadLow,A3,f17off,3,13,53,432,6,42,8.971813918930354E-9,Infinity,match-ln,
B_scaleAxis_tasks60_chain,B,f17off,3,736,201,248032,50,385,0.003164909231250275,Infinity,match-ln,
A4_databaseBackend,A4,f17off,4,22,53,1132,9,35,2.025474332613784E-8,Infinity,match-ln,
B_scaleAxis_tasks20_fanout,B,f17off,10,674,81,36792,6,501,0.5944015949902322,Infinity,match-neither,
A5_andForkMultiAct,A5,f17off,2,325,53,18958,8,39,4.377249605331319E-4,Infinity,match-ln,
A3_multiserver_c4_loadLow,A3,f17off,3,11,53,385,6,34,8.843923331036364E-9,Infinity,match-ln,
A2_multiclassC_2refs_think_2to1_N20,A2,f17off,2,20,53,1226,9,36,8.205438235700965E-4,Infinity,match-ln,
A2_multiclassC_2refs_think_2to1_N50,A2,f17off,2,16,53,1238,10,32,4.361744390904642E-4,Infinity,match-ln,
B_scaleAxis_tasks40_chain,B,f17off,3,287,161,95940,50,185,0.0022165153587857755,Infinity,match-ln,
B_scaleAxis_tasks40_fanout,B,f17off,9,5064,161,207122,6,5207,0.7234326743937365,Infinity,match-neither,
A1_chain_d3_N50,A1,f17off,3,19,53,2524,12,36,2.134757490402767E-6,Infinity,match-ln,
