fixture_name,partition,condition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes
A3_multiserver_c8_loadLow,A3,baseline,4,7,53,678,6,39,9.991293521755557E-9,3.037522938101944E-4,match-ln,
C2_infTaskShared,C2,baseline,3,10,53,1439,2,34,2.3028322668378117E-8,0.5689648060337715,match-ln,
C2_infTaskSimple,C2,baseline,3,5,53,570,2,31,1.4814814737485247E-8,9.285705665903515E-7,match-ln,
B_scaleAxis_tasks10_fanout,B,baseline,13,74,53,7784,7,63,0.4661943123010325,0.047978525588717985,match-lqns-only,
A1_chain_d5_N100,A1,baseline,4,21,53,2893,50,36,1.7228200366711692E-7,0.011035825861159367,match-ln,
A2_multiclassA_2refs_loadHigh_N20,A2,baseline,3,11,53,978,10,34,4.1387690706106725E-5,0.49999963793041025,match-ln,
A2_multiclassA_2refs_loadHigh_N50,A2,baseline,3,10,53,1038,10,29,1.3964118037485343E-4,0.4999316757507632,match-ln,
C4_lowDemand,C4,baseline,4,5,53,462,6,30,1.5234253431667415E-7,1.268443176378402E-6,match-ln,
C3_multiclassMultiEntry_asymmetric,C3,baseline,3,9,53,951,10,31,0.0031854540870217365,0.9583581602284748,match-ln,
C2_infTaskDeep,C2,baseline,3,12,53,1775,2,25,4.6306999344064256E-8,3.3333222224488625E-6,match-ln,
C5_satFanout_tasks10,C5,baseline,19,93,85,17086,12,119,0.4675063808582269,0.045853546947025134,match-lqns-only,
C5_satFanout_tasks20,C5,baseline,13,528,81,38001,7,391,0.6054241421406608,0.035633424911131126,match-lqns-only,
C5_satFanoutCaller_w2,C5,baseline,29,21,62,3047,26,27,0.5461559963276738,0.12281110705497454,match-neither,
C5_satFanoutCaller_w3,C5,baseline,29,32,65,4282,29,31,0.5159597384104402,0.15981959432225684,match-neither,
C5_satFanoutCaller_w4,C5,baseline,35,40,74,6648,31,43,0.44280151936520484,0.12983476839422461,match-neither,
A4_retryLoop,A4,baseline,6,12,53,847,10,28,8.492578803253991E-8,0.030956925421981297,match-ln,
A2_multiclassB_2refs_demands_5to1_N20,A2,baseline,3,12,53,974,9,27,0.001779978209858555,0.8216312877830878,match-ln,
A2_multiclassB_2refs_demands_5to1_N50,A2,baseline,3,10,53,966,10,24,4.958272541139544E-4,0.8287564552074922,match-ln,
A4_chainPlusFanout,A4,baseline,10,18,53,2477,9,27,0.047621191697856,0.8144248448311985,match-ln,
C6_andForkPsHost,C6,baseline,4,156,53,14105,50,36,0.36167077270887615,0.5448912419447614,match-neither,
A3_multiserver_c8_loadHigh,A3,baseline,4,6,53,476,8,32,1.6710729481066138E-8,0.003126617436902691,match-ln,
C6_multiclassAndFork,C6,baseline,3,383,53,28300,8,32,1.0761322450827713,0.749421900459553,match-neither,
A4_threeTier_sequence,A4,baseline,5,13,53,796,6,28,0.039781102447431146,0.8006248315313428,match-ln,
A4_parallelService_andFork,A4,baseline,3,98,53,10076,8,30,4.37719490573342E-4,0.28738879599949607,match-ln,
A3_multiserver_c2_loadMedium,A3,baseline,4,6,53,405,7,24,6.973386617755015E-9,0.12061910477962988,match-ln,
A5_orForkUneven,A5,baseline,4,7,53,452,9,57,2.001111264858365E-8,0.6980805949372861,match-ln,
A2_multiclassB_2refs_demands_3to1_N20,A2,baseline,3,11,53,893,9,24,0.001359531198530082,0.7369659928179099,match-ln,
A2_multiclassB_2refs_demands_3to1_N50,A2,baseline,3,10,53,905,10,22,4.6846225916296334E-4,0.7448478498387786,match-ln,
B_scaleAxis_tasks5_chain,B,baseline,4,14,53,2799,14,31,2.0970642853838956E-5,0.04371172473194522,match-ln,
A3_multiserver_c4_loadMedium,A3,baseline,4,9,53,419,7,26,1.1480981767115277E-8,0.017570278136248185,match-ln,
C1_fanOut2_caller_c1,C1,baseline,11,13,53,951,7,33,0.29442364637371543,0.04368358267979409,match-lqns-only,
C1_fanOut2_caller_c2,C1,baseline,11,12,53,1031,7,31,0.29442364637371543,0.04368358267979409,match-lqns-only,
A3_multiserver_c4_loadHigh,A3,baseline,4,8,53,474,8,24,1.672147850555455E-8,0.008478575027452298,match-ln,
A4_multiclass_multiserver,A4,baseline,3,11,53,1731,10,26,0.0058931291162968085,0.5744084108833205,match-ln,
A4_threeTier_multiclass,A4,baseline,9,18,53,2157,13,27,0.0014133495844144029,0.9710484583616301,match-ln,
A3_multiserver_c2_loadHigh,A3,baseline,4,6,53,354,8,21,1.1017551485745867E-8,0.14576461492351184,match-ln,
A3_multiserver_c8_loadMedium,A3,baseline,4,7,53,404,7,26,1.0734038792624971E-8,0.009893642947892578,match-ln,
A4_replyThenLog,A4,baseline,4,8,53,463,2,27,0.001869542403480529,56.50000089026155,match-ln,
A4_multiclass_multientry,A4,baseline,3,15,53,1486,9,28,0.0029704995920316673,0.7235758991816224,match-ln,
A5_replyAtBound,A5,baseline,4,7,53,439,2,24,0.013407702493180615,44.00097130492573,match-ln,
C1_fanOut4_caller_c1,C1,baseline,11,20,53,1515,7,27,0.3032292953102441,0.040475329142133094,match-lqns-only,
C1_fanOut4_caller_c2,C1,baseline,11,19,53,1538,7,29,0.30322929531024384,0.040475329142133094,match-lqns-only,
A2_multiclassA_2refs_loadLow_N20,A2,baseline,3,10,53,1301,9,32,1.1822905059019936E-4,0.5000079999999999,match-ln,
A2_multiclassA_2refs_loadLow_N50,A2,baseline,3,9,53,1338,10,31,4.4189298629087833E-4,0.4997830316890521,match-ln,
A2_multiclassC_2refs_think_4to1_N20,A2,baseline,3,11,53,1122,10,28,0.0026199704343522335,0.5381638729913577,match-ln,
A2_multiclassC_2refs_think_4to1_N50,A2,baseline,3,11,53,1106,10,23,8.745258894391715E-4,0.5148586784218948,match-ln,
C3_multiclassMultiEntry_2refs,C3,baseline,3,10,53,762,9,33,0.0017895176634592802,0.5859452394405024,match-ln,
C3_multiclassMultiEntry_3refs,C3,baseline,3,15,53,1266,9,23,0.017838030039096186,0.7376201096776086,match-ln,
B_scaleAxis_tasks10_chain,B,baseline,4,29,53,5553,21,35,1.8220381141459866E-4,0.04371172473194522,match-ln,
C4_nearSaturation,C4,baseline,4,5,53,618,12,23,0.023262120170923516,0.047985996639355134,match-ln,
A3_multiserver_c2_loadLow,A3,baseline,4,6,53,350,6,21,8.971813918930354E-9,0.05152915404642104,match-ln,
B_scaleAxis_tasks60_chain,B,baseline,4,403,201,209340,50,368,0.003164909231250275,5.875000000000059,match-ln,
A4_databaseBackend,A4,baseline,4,11,53,1366,9,34,2.025474332613784E-8,0.02358518941662322,match-ln,
B_scaleAxis_tasks20_fanout,B,baseline,13,485,81,56978,6,446,0.5944015949902322,0.030022283408315732,match-lqns-only,
A5_andForkMultiAct,A5,baseline,3,327,53,21699,8,33,4.377249605331319E-4,0.37720140789988305,match-ln,
A3_multiserver_c4_loadLow,A3,baseline,4,7,53,525,6,27,8.843923331036364E-9,0.004301804436131094,match-ln,
A2_multiclassC_2refs_think_2to1_N20,A2,baseline,3,11,53,1201,9,28,8.205438235700965E-4,0.5128078772162594,match-ln,
A2_multiclassC_2refs_think_2to1_N50,A2,baseline,3,12,53,1211,10,32,4.361744390904642E-4,0.5048893848458335,match-ln,
B_scaleAxis_tasks40_chain,B,baseline,4,173,161,108117,50,152,0.0022165153587857755,0.05088981706874679,match-ln,
B_scaleAxis_tasks40_fanout,B,baseline,13,3510,161,545005,6,4853,0.7234326743937365,0.02122082481718683,match-lqns-only,
A1_chain_d3_N50,A1,baseline,6,10,53,2382,12,39,2.134757490402767E-6,0.018162954954647304,match-ln,
A1_chain_d5_N20,A1,baseline,4,17,53,1540,14,33,3.714132185728673E-8,0.00843047927875342,match-ln,
A1_chain_d5_N50,A1,baseline,4,19,53,3883,15,33,2.1279590799571067E-6,0.018162954954647304,match-ln,
A1_chain_d8_N50,A1,baseline,4,25,53,6035,19,36,5.2280851766185225E-6,0.018162954954647304,match-ln,
C7_deepChainAllExp,C7,baseline,8,21,56,2215,50,35,1.3595630692004566,3.302650781745132,match-neither,
A5_seqMultiEntry,A5,baseline,4,12,53,847,9,26,1.7841518981792872E-8,0.5003417112128414,match-ln,
A5_andForkThreeWay,A5,baseline,3,265,53,20154,9,30,2.3517507436495323E-4,0.6615398234316313,match-ln,
C1_fanOut3_caller_c1,C1,baseline,11,19,53,1314,8,30,0.36258688296200503,0.042243130994593786,match-lqns-only,
C1_fanOut3_caller_c2,C1,baseline,11,19,53,1355,8,33,0.36258688296200503,0.042243130994593786,match-lqns-only,
C4_predicateThreshold,C4,baseline,3,5,53,474,5,26,1.3333333282048427E-8,6.522179157513855E-4,match-ln,
B_scaleAxis_tasks5_fanout,B,baseline,13,20,53,3777,6,32,0.2812295256942146,0.05097876264133701,match-lqns-only,
A5_combinedDag,A5,baseline,3,646,53,49857,,,0.009836347340206995,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_7ecaa47b.lqnx:34: error: Symbol \
A4_webApplication,A4,baseline,5,14,53,2333,6,33,1.8901380285144722E-8,0.8405786426363236,match-ln,
C7_deepChainMultiCall,C7,baseline,7,20,53,1536,14,30,0.32836720201172453,0.9966101615627666,match-neither,
A5_orForkThreeWay,A5,baseline,4,9,53,647,8,55,2.026260427220642E-8,0.7933665833162645,match-ln,
B_scaleAxis_tasks60_fanout,B,baseline,11,13484,201,2268637,5,15968,0.8084267892424358,0.03923097884857001,match-lqns-only,
B_scaleAxis_tasks20_chain,B,baseline,4,66,81,17999,34,64,0.004507340536968295,0.04371258053191718,match-ln,
C5_satFanout_tasks5,C5,baseline,43,25,81,8405,42,46,0.44067071425633886,0.07714276923349847,match-lqns-only,
