fixture_name,partition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,lqns_rest_call_ms,lqns_elapsed_ms,lqns_local_parse_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes,n_runs,sim_time_ms_median,sim_time_ms_min,sim_time_ms_q25,sim_time_ms_q75,sim_time_ms_max,ln_time_ms_median,ln_time_ms_min,ln_time_ms_q25,ln_time_ms_q75,ln_time_ms_max,lqns_time_ms_median,lqns_time_ms_min,lqns_time_ms_q25,lqns_time_ms_q75,lqns_time_ms_max
A1_chain_d3_N50,A1,6,13.0,53,2222.0,12.0,39.0,,,,2.134757490402767e-06,0.0181629549546473,match-ln,,3,13.0,10.0,11.5,14.0,15.0,2222.0,1786.0,2004.0,2302.0,2382.0,39.0,24.0,31.5,43.0,47.0
A1_chain_d5_N100,A1,4,25.0,53,3097.0,50.0,36.0,,,,1.7228200366711695e-07,0.0110358258611593,match-ln,,3,25.0,21.0,23.0,26.0,27.0,3097.0,2893.0,2995.0,3417.5,3738.0,36.0,31.0,33.5,39.5,43.0
A1_chain_d5_N20,A1,4,22.0,53,1540.0,14.0,39.0,,,,3.714132185728673e-08,0.0084304792787534,match-ln,,3,22.0,17.0,19.5,22.5,23.0,1540.0,1286.0,1413.0,1580.5,1621.0,39.0,33.0,36.0,40.5,42.0
A1_chain_d5_N50,A1,4,22.0,53,3404.0,15.0,33.0,,,,2.1279590799571067e-06,0.0181629549546473,match-ln,,3,22.0,19.0,20.5,22.5,23.0,3404.0,2812.0,3108.0,3643.5,3883.0,33.0,25.0,29.0,34.5,36.0
A1_chain_d8_N50,A1,4,34.0,53,5087.0,19.0,36.0,,,,5.2280851766185225e-06,0.0181629549546473,match-ln,,3,34.0,25.0,29.5,35.5,37.0,5087.0,4601.0,4844.0,5561.0,6035.0,36.0,28.0,32.0,37.5,39.0
A2_multiclassA_2refs_loadHigh_N20,A2,3,14.0,53,1112.0,10.0,30.0,,,,4.1387690706106725e-05,0.4999996379304102,match-ln,,3,14.0,11.0,12.5,15.0,16.0,1112.0,978.0,1045.0,1163.0,1214.0,30.0,26.0,28.0,32.0,34.0
A2_multiclassA_2refs_loadHigh_N50,A2,3,13.0,53,1142.0,10.0,31.0,,,,0.00013964118037485343,0.4999316757507632,match-ln,,3,13.0,10.0,11.5,23.0,33.0,1142.0,1038.0,1090.0,1142.5,1143.0,31.0,29.0,30.0,32.5,34.0
A2_multiclassA_2refs_loadLow_N20,A2,3,16.0,53,1228.0,9.0,28.0,,,,0.00011822905059019936,0.5000079999999999,match-ln,,3,16.0,10.0,13.0,16.0,16.0,1228.0,1019.0,1123.5,1264.5,1301.0,28.0,28.0,28.0,30.0,32.0
A2_multiclassA_2refs_loadLow_N50,A2,3,13.0,53,1274.0,10.0,29.0,,,,0.00044189298629087833,0.4997830316890521,match-ln,,3,13.0,9.0,11.0,13.5,14.0,1274.0,1007.0,1140.5,1306.0,1338.0,29.0,23.0,26.0,30.0,31.0
A2_multiclassB_2refs_demands_3to1_N20,A2,3,14.0,53,946.0,9.0,24.0,,,,0.00135953119853,0.7369659928179099,match-ln,,3,14.0,11.0,12.5,20.0,26.0,946.0,893.0,919.5,954.5,963.0,24.0,23.0,23.5,26.0,28.0
