fixture_name,partition,condition,sim_iters,sim_time_ms,ln_iters,ln_time_ms,lqns_iters,lqns_time_ms,sim_vs_ln_max_rel_diff,sim_vs_lqns_max_rel_diff,matches_within_tol,notes
A3_multiserver_c8_loadLow,A3,f17off,3,20,53,506,6,41,9.991293521755557E-9,Infinity,match-ln,
C2_infTaskShared,C2,f17off,2,30,53,1542,2,43,2.3028322668378117E-8,Infinity,match-ln,
C2_infTaskSimple,C2,f17off,2,20,53,501,2,36,1.4814814737485247E-8,Infinity,match-ln,
B_scaleAxis_tasks10_fanout,B,f17off,10,229,53,6594,7,81,0.4661943123010325,Infinity,match-neither,
A1_chain_d5_N100,A1,f17off,3,39,53,2738,50,30,1.7228200366711692E-7,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N20,A2,f17off,2,22,53,966,10,26,4.1387690706106725E-5,Infinity,match-ln,
A2_multiclassA_2refs_loadHigh_N50,A2,f17off,2,20,53,1063,10,29,1.3964118037485343E-4,Infinity,match-ln,
C4_lowDemand,C4,f17off,3,11,53,336,6,30,1.5234253431667415E-7,Infinity,match-ln,
C3_multiclassMultiEntry_asymmetric,C3,f17off,2,19,53,1047,10,32,0.0031854540870217365,Infinity,match-ln,
C2_infTaskDeep,C2,f17off,3,29,53,1665,2,35,4.6306999344064256E-8,Infinity,match-ln,
C5_satFanout_tasks10,C5,f17off,11,152,85,14936,12,124,0.4675063808582269,Infinity,match-neither,
C5_satFanout_tasks20,C5,f17off,10,668,81,24587,7,403,0.6054241421406608,Infinity,match-neither,
C5_satFanoutCaller_w2,C5,f17off,18,27,62,3035,26,26,0.5461559963276738,Infinity,match-neither,
C5_satFanoutCaller_w3,C5,f17off,18,33,65,4271,29,32,0.5159597384104402,Infinity,match-neither,
C5_satFanoutCaller_w4,C5,f17off,21,44,74,6234,31,40,0.44280151936520484,Infinity,match-neither,
A4_retryLoop,A4,f17off,4,18,53,566,10,32,8.492578803253991E-8,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N20,A2,f17off,2,19,53,1162,9,35,0.001779978209858555,Infinity,match-ln,
A2_multiclassB_2refs_demands_5to1_N50,A2,f17off,2,18,53,1073,10,31,4.958272541139544E-4,Infinity,match-ln,
A4_chainPlusFanout,A4,f17off,6,31,53,2374,9,32,0.047621191697856,Infinity,match-ln,
C6_andForkPsHost,C6,f17off,3,204,53,12525,50,49,0.36167077270887615,Infinity,match-neither,
A3_multiserver_c8_loadHigh,A3,f17off,3,13,53,438,8,30,1.6710729481066138E-8,Infinity,match-ln,
C6_multiclassAndFork,C6,f17off,2,542,53,29482,8,31,1.0761322450827713,Infinity,match-neither,
A4_threeTier_sequence,A4,f17off,4,17,53,567,6,29,0.039781102447431146,Infinity,match-ln,
A4_parallelService_andFork,A4,f17off,2,112,53,9840,8,24,4.37719490573342E-4,Infinity,match-ln,
A3_multiserver_c2_loadMedium,A3,f17off,3,8,53,293,7,24,6.973386617755015E-9,Infinity,match-ln,
A5_orForkUneven,A5,f17off,3,10,53,297,,,2.001111264858365E-8,,match-ln,LQNS unavailable: RuntimeException: Remote solver returned error: /tmp/lqns-rest/model_f2a4f8cd.lqnx:19: error: Task \
A2_multiclassB_2refs_demands_3to1_N20,A2,f17off,2,14,53,900,9,31,0.001359531198530082,Infinity,match-ln,
A2_multiclassB_2refs_demands_3to1_N50,A2,f17off,2,16,53,1017,10,25,4.6846225916296334E-4,Infinity,match-ln,
B_scaleAxis_tasks5_chain,B,f17off,3,22,53,3178,14,40,2.0970642853838956E-5,Infinity,match-ln,
A3_multiserver_c4_loadMedium,A3,f17off,3,10,53,428,7,31,1.1480981767115277E-8,Infinity,match-ln,
C1_fanOut2_caller_c1,C1,f17off,8,17,53,763,7,38,0.29442364637371543,Infinity,match-neither,
C1_fanOut2_caller_c2,C1,f17off,8,18,53,882,7,33,0.29442364637371543,Infinity,match-neither,
A3_multiserver_c4_loadHigh,A3,f17off,3,10,53,495,8,32,1.672147850555455E-8,Infinity,match-ln,
A4_multiclass_multiserver,A4,f17off,2,17,53,2000,10,32,0.0058931291162968085,Infinity,match-ln,
